target_velocities,holding_time,rpm
3075000,1,307.5
3078750,1,307.875
3082500,1,308.25
3086250,1,308.625
3090000,1,309
3093750,1,309.375
3097500,1,309.75
3101250,1,310.125
3105000,1,310.5
3108750,1,310.875
3112500,1,311.25
3116250,1,311.625
3120000,1,312
3123750,1,312.375
3127500,1,312.75
3131250,1,313.125
3135000,1,313.5
3138750,1,313.875
3142500,1,314.25
3146250,1,314.625
3150000,1,315
3153750,1,315.375
3157500,1,315.75
3161250,1,316.125
3165000,1,316.5
3168750,1,316.875
3172500,1,317.25
3176250,1,317.625
3180000,1,318
3183750,1,318.375
3187500,1,318.75
3191250,1,319.125
3195000,1,319.5
3198750,1,319.875
3202500,1,320.25
3206250,1,320.625
3210000,1,321
3213750,1,321.375
3217500,1,321.75
3221250,1,322.125
3225000,1,322.5
3228750,1,322.875
3232500,1,323.25
3236250,1,323.625
3240000,1,324
3243750,1,324.375
3247500,1,324.75
3251250,1,325.125
3255000,1,325.5
3258750,1,325.875
3262500,1,326.25
3266250,1,326.625
3270000,1,327
3273750,1,327.375
3277500,1,327.75
3281250,1,328.125
3285000,1,328.5
3288750,1,328.875
3292500,1,329.25
3296250,1,329.625
3300000,1,330
3303750,1,330.375
3307500,1,330.75
3311250,1,331.125
3315000,1,331.5
3318750,1,331.875
3322500,1,332.25
3326250,1,332.625
3330000,1,333
3333750,1,333.375
3337500,1,333.75
3341250,1,334.125
3345000,1,334.5
3348750,1,334.875
3352500,1,335.25
3356250,1,335.625
3360000,1,336
3363750,1,336.375
3367500,1,336.75
3371250,1,337.125
3375000,1,337.5
3378750,1,337.875
3382500,1,338.25
3386250,1,338.625
3390000,1,339
3393750,1,339.375
3397500,1,339.75
3401250,1,340.125
3405000,1,340.5
3408750,1,340.875
3412500,1,341.25
3416250,1,341.625
3420000,1,342
3423750,1,342.375
3427500,1,342.75
3431250,1,343.125
3435000,1,343.5
3438750,1,343.875
3442500,1,344.25
3446250,1,344.625
3450000,1,345
3453750,1,345.375
3457500,1,345.75
3461250,1,346.125
3465000,1,346.5
3468750,1,346.875
3472500,1,347.25
3476250,1,347.625
3480000,1,348
3483750,1,348.375
3487500,1,348.75
3491250,1,349.125
3495000,1,349.5
3498750,1,349.875
3502500,1,350.25
3506250,1,350.625
3510000,1,351
3513750,1,351.375
3517500,1,351.75
3521250,1,352.125
3525000,1,352.5
3528750,1,352.875
3532500,1,353.25
3536250,1,353.625
3540000,1,354
3543750,1,354.375
3547500,1,354.75
3551250,1,355.125
3555000,1,355.5
3558750,1,355.875
3562500,1,356.25
3566250,1,356.625
3570000,1,357
3573750,1,357.375
3577500,1,357.75
3581250,1,358.125
3585000,1,358.5
3588750,1,358.875
3592500,1,359.25
3596250,1,359.625
3600000,1,360
3603750,1,360.375
3607500,1,360.75
3611250,1,361.125
3615000,1,361.5
3618750,1,361.875
3622500,1,362.25
3626250,1,362.625
3630000,1,363
3633750,1,363.375
3637500,1,363.75
3641250,1,364.125
3645000,1,364.5
3648750,1,364.875
3652500,1,365.25
3656250,1,365.625
3660000,1,366
3663750,1,366.375
3667500,1,366.75
3671250,1,367.125
3675000,1,367.5
3678750,1,367.875
3682500,1,368.25
3686250,1,368.625
3690000,1,369
3693750,1,369.375
3697500,1,369.75
3701250,1,370.125
3705000,1,370.5
3708750,1,370.875
3712500,1,371.25
3716250,1,371.625
3720000,1,372
3723750,1,372.375
3727500,1,372.75
3731250,1,373.125
3735000,1,373.5
3738750,1,373.875
3742500,1,374.25
3746250,1,374.625
3750000,1,375
3753750,1,375.375
3757500,1,375.75
3761250,1,376.125
3765000,1,376.5
3768750,1,376.875
3772500,1,377.25
3776250,1,377.625
3780000,1,378
3783750,1,378.375
3787500,1,378.75
3791250,1,379.125
3795000,1,379.5
3798750,1,379.875
3802500,1,380.25
3806250,1,380.625
3810000,1,381
3813750,1,381.375
3817500,1,381.75
3821250,1,382.125
3825000,1,382.5
3828750,1,382.875
3832500,1,383.25
3836250,1,383.625
3840000,1,384
3843750,1,384.375
3847500,1,384.75
3851250,1,385.125
3855000,1,385.5
3858750,1,385.875
3862500,1,386.25
3866250,1,386.625
3870000,1,387
3873750,1,387.375
3877500,1,387.75
3881250,1,388.125
3885000,1,388.5
3888750,1,388.875
3892500,1,389.25
3896250,1,389.625
3900000,1,390
3903750,1,390.375
3907500,1,390.75
3911250,1,391.125
3915000,1,391.5
3918750,1,391.875
3922500,1,392.25
3926250,1,392.625
3930000,1,393
3933750,1,393.375
3937500,1,393.75
3941250,1,394.125
3945000,1,394.5
3948750,1,394.875
3952500,1,395.25
3956250,1,395.625
3960000,1,396
3963750,1,396.375
3967500,1,396.75
3971250,1,397.125
3975000,1,397.5
3978750,1,397.875
3982500,1,398.25
3986250,1,398.625
3990000,1,399
3993750,1,399.375
3997500,1,399.75
4001250,1,400.125
4005000,1,400.5
4008750,1,400.875
4012500,1,401.25
